name,description,category_id,price_1_day,price_2_days,price_3_days,price_4_days,price_5_days,price_6_days,price_7_days,price_14_days,price_30_days,deposit,image_url
Zoomlion ZS1212HDS,"Подъемник ножничный Zoomlion ZS1212HDS

Максимальная рабочая высота: 13,8 м
Максимальная высота подъёма платформы: 11,8 м
Минимальная высота подъёма платформы: 1,46 м
Длина платформы: 2,3 м
Ширина платформы: 1,12 м
Грузоподъёмность: 350 кг
Грузоподъёмность (платформа удлинена): 113 кг
Вместимость платформы (человек): 3
Аккумуляторная батарея: Литий-ионная 200А·ч
Зарядное устройство: 24В/30A
Вес Брутто: 3180 к",14,5900,11800,17700,23600,29500,35400,41300,64900,118000,150000,
Домкрат 20т БелАК,Домкрат 20 тонн,14,500,900,1300,1600,1900,2100,2200,4000,8000,5000,
Домкрат 32т БелАК,Домкрат 32 тонн,14,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
Домкрат 50т БелАК,Домкрат 50 тонн,14,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Домкрат подкатной AE&T 3.5т,Домкрат подкатной 3.5 тонн,14,400,700,1000,1300,1500,1700,1800,3300,6800,4000,
Домкрат реечный TOR 5Т,Домкрат реечный 5 тонн,14,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
Складной кран AE&T 2т,Складной кран 2 тонн,14,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Лебедка Zitrek MTM 5.4т 20м,Лебедка 5.4 тонн 20 метров,14,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
Электрическая лебедка TOR ЛЭК-500 E21,Лебедка электрическая,14,1200,2300,3200,4000,4600,5100,5500,10000,20000,12000,
Подъемник для гипсокартона (ГКЛ) ПРЕМОС-Т,Подъемник для гипсокартона,14,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
Набор Rehau ручной,Набор для монтажа труб Rehau,15,500,900,1300,1600,1900,2100,2200,4000,8000,5000,
Набор Uponor ручной,Набор для монтажа труб Uponor,15,500,900,1300,1600,1900,2100,2200,4000,8000,5000,
Клупп VOLL V-Matic B1 с набором головок 1/2,Клупп с головками 1/2,15,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Клупп VOLL V-Matic B2 с набором головок 1/2-2,Клупп с головками 1/2-2,15,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
Паяльника для труб ПВХ ПТП-1000,Паяльник для ПВХ труб,15,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
Прочистка труб V-Clean 150,Прочистка труб,15,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Насос опрессовочный,Насос для опрессовки,15,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
Опрессовщик электрический V-Test 60/3,Опрессовщик электрический,15,1500,2800,3900,4800,5500,6000,6500,12000,25000,15000,
